frame_no,ts,src_ip,dst_ip,src_mac,dst_mac,protocol,transport,src_port,dst_port,length,tcp_syn,tcp_ack,tcp_fin,tcp_rst,dns_qry_name,dns_qry_type,dns_response,dns_rcode,http_method,http_host,http_uri,arp_src_ip,arp_src_mac,arp_opcode,info
11,1700000002.222146,10.0.0.109,93.184.130.70,02:f8:72:e4:ad:c7,00:11:22:33:44:01,TLS,TCP,57171,443,1316,0,1,0,0,,,,,,,,,,,Application Data
12,1700000002.8896124,10.0.0.109,93.184.130.70,02:f8:72:e4:ad:c7,00:11:22:33:44:01,TLS,TCP,57171,443,490,0,1,0,0,,,,,,,,,,,Application Data
13,1700000003.2982857,10.0.0.103,93.184.244.218,02:c9:83:20:d6:73,00:11:22:33:44:01,TLS,TCP,57824,443,662,0,1,0,0,,,,,,,,,,,Application Data
14,1700000003.3634484,93.184.130.70,10.0.0.109,00:11:22:33:44:01,02:f8:72:e4:ad:c7,TLS,TCP,443,57171,717,0,1,0,0,,,,,,,,,,,Application Data
15,1700000003.7379293,93.184.244.218,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TLS,TCP,443,57824,1097,0,1,0,0,,,,,,,,,,,Application Data
16,1700000004.149366,10.0.0.103,93.184.244.218,02:c9:83:20:d6:73,00:11:22:33:44:01,TLS,TCP,57824,443,1109,0,1,0,0,,,,,,,,,,,Application Data
17,1700000010.7165756,10.0.0.110,10.0.0.1,02:c2:31:5d:77:7f,00:11:22:33:44:01,DNS,UDP,64747,53,80,,,,,wikipedia.org,1,0,,,,,,,,Standard query A wikipedia.org
18,1700000010.7365756,10.0.0.1,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,DNS,UDP,53,64747,90,,,,,wikipedia.org,1,1,0,,,,,,,Standard query response A wikipedia.org
19,1700000010.7665756,10.0.0.110,93.184.236.132,02:c2:31:5d:77:7f,00:11:22:33:44:01,TCP,TCP,64747,443,74,1,0,0,0,,,,,,,,,,,SYN
20,1700000010.7965755,93.184.236.132,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TCP,TCP,443,64747,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
21,1700000012.0683362,93.184.236.132,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,64747,965,0,1,0,0,,,,,,,,,,,Application Data
22,1700000012.3460667,10.0.0.110,93.184.236.132,02:c2:31:5d:77:7f,00:11:22:33:44:01,TLS,TCP,64747,443,1218,0,1,0,0,,,,,,,,,,,Application Data
23,1700000012.467546,93.184.236.132,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,64747,1147,0,1,0,0,,,,,,,,,,,Application Data
24,1700000012.6580603,93.184.236.132,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,64747,293,0,1,0,0,,,,,,,,,,,Application Data
25,1700000013.0059178,10.0.0.110,93.184.236.132,02:c2:31:5d:77:7f,00:11:22:33:44:01,TLS,TCP,64747,443,420,0,1,0,0,,,,,,,,,,,Application Data
26,1700000013.0340734,10.0.0.110,10.0.0.1,02:c2:31:5d:77:7f,00:11:22:33:44:01,DNS,UDP,50833,53,73,,,,,microsoft.com,1,0,,,,,,,,Standard query A microsoft.com
27,1700000013.0358856,10.0.0.110,93.184.236.132,02:c2:31:5d:77:7f,00:11:22:33:44:01,TLS,TCP,64747,443,886,0,1,0,0,,,,,,,,,,,Application Data
28,1700000013.0540733,10.0.0.1,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,DNS,UDP,53,50833,110,,,,,microsoft.com,1,1,0,,,,,,,Standard query response A microsoft.com
29,1700000013.0840733,10.0.0.110,93.184.5.216,02:c2:31:5d:77:7f,00:11:22:33:44:01,TCP,TCP,50833,443,74,1,0,0,0,,,,,,,,,,,SYN
30,1700000013.1140733,93.184.5.216,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TCP,TCP,443,50833,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
31,1700000013.5342822,93.184.236.132,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,64747,1115,0,1,0,0,,,,,,,,,,,Application Data
32,1700000013.584192,93.184.5.216,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,50833,1284,0,1,0,0,,,,,,,,,,,Application Data
33,1700000013.6698859,10.0.0.110,93.184.5.216,02:c2:31:5d:77:7f,00:11:22:33:44:01,TLS,TCP,50833,443,912,0,1,0,0,,,,,,,,,,,Application Data
34,1700000013.7249513,10.0.0.110,93.184.236.132,02:c2:31:5d:77:7f,00:11:22:33:44:01,TLS,TCP,64747,443,356,0,1,0,0,,,,,,,,,,,Application Data
35,1700000014.462628,10.0.0.110,93.184.5.216,02:c2:31:5d:77:7f,00:11:22:33:44:01,TLS,TCP,50833,443,659,0,1,0,0,,,,,,,,,,,Application Data
36,1700000014.5376124,10.0.0.103,10.0.0.1,02:c9:83:20:d6:73,00:11:22:33:44:01,DNS,UDP,55671,53,72,,,,,cloudflare.com,1,0,,,,,,,,Standard query A cloudflare.com
37,1700000014.5576124,10.0.0.1,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,DNS,UDP,53,55671,118,,,,,cloudflare.com,1,1,0,,,,,,,Standard query response A cloudflare.com
38,1700000014.5876124,10.0.0.103,93.184.126.240,02:c9:83:20:d6:73,00:11:22:33:44:01,TCP,TCP,55671,443,74,1,0,0,0,,,,,,,,,,,SYN
39,1700000014.6176124,93.184.126.240,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TCP,TCP,443,55671,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
40,1700000015.0241218,10.0.0.106,10.0.0.1,02:73:3a:17:8d:e3,00:11:22:33:44:01,DNS,UDP,53335,53,79,,,,,apple.com,1,0,,,,,,,,Standard query A apple.com
41,1700000015.0441217,10.0.0.1,10.0.0.106,00:11:22:33:44:01,02:73:3a:17:8d:e3,DNS,UDP,53,53335,124,,,,,apple.com,1,1,0,,,,,,,Standard query response A apple.com
42,1700000015.0741217,10.0.0.106,93.184.61.67,02:73:3a:17:8d:e3,00:11:22:33:44:01,TCP,TCP,53335,443,74,1,0,0,0,,,,,,,,,,,SYN
43,1700000015.1041217,93.184.61.67,10.0.0.106,00:11:22:33:44:01,02:73:3a:17:8d:e3,TCP,TCP,443,53335,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
44,1700000015.114032,10.0.0.110,93.184.5.216,02:c2:31:5d:77:7f,00:11:22:33:44:01,TLS,TCP,50833,443,369,0,1,0,0,,,,,,,,,,,Application Data
45,1700000015.2478807,10.0.0.106,93.184.61.67,02:73:3a:17:8d:e3,00:11:22:33:44:01,TLS,TCP,53335,443,1071,0,1,0,0,,,,,,,,,,,Application Data
46,1700000015.8132308,93.184.5.216,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,50833,286,0,1,0,0,,,,,,,,,,,Application Data
47,1700000015.9935184,93.184.5.216,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,50833,1069,0,1,0,0,,,,,,,,,,,Application Data
48,1700000016.9359558,93.184.61.67,10.0.0.106,00:11:22:33:44:01,02:73:3a:17:8d:e3,TLS,TCP,443,53335,1096,0,1,0,0,,,,,,,,,,,Application Data
49,1700000017.0062623,10.0.0.110,10.0.0.1,02:c2:31:5d:77:7f,00:11:22:33:44:01,DNS,UDP,64337,53,87,,,,,cloudflare.com,1,0,,,,,,,,Standard query A cloudflare.com
50,1700000017.0262623,10.0.0.1,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,DNS,UDP,53,64337,92,,,,,cloudflare.com,1,1,0,,,,,,,Standard query response A cloudflare.com
51,1700000017.0562623,10.0.0.110,93.184.189.220,02:c2:31:5d:77:7f,00:11:22:33:44:01,TCP,TCP,64337,443,74,1,0,0,0,,,,,,,,,,,SYN
52,1700000017.0862622,93.184.189.220,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TCP,TCP,443,64337,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
53,1700000017.1590536,93.184.61.67,10.0.0.106,00:11:22:33:44:01,02:73:3a:17:8d:e3,TLS,TCP,443,53335,338,0,1,0,0,,,,,,,,,,,Application Data
54,1700000017.4086964,93.184.189.220,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,64337,502,0,1,0,0,,,,,,,,,,,Application Data
55,1700000017.508194,93.184.189.220,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,64337,848,0,1,0,0,,,,,,,,,,,Application Data
56,1700000017.561115,10.0.0.103,93.184.126.240,02:c9:83:20:d6:73,00:11:22:33:44:01,TLS,TCP,55671,443,684,0,1,0,0,,,,,,,,,,,Application Data
57,1700000017.5814419,10.0.0.103,93.184.126.240,02:c9:83:20:d6:73,00:11:22:33:44:01,TLS,TCP,55671,443,883,0,1,0,0,,,,,,,,,,,Application Data
58,1700000017.597707,93.184.126.240,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TLS,TCP,443,55671,941,0,1,0,0,,,,,,,,,,,Application Data
59,1700000018.0047996,10.0.0.110,93.184.189.220,02:c2:31:5d:77:7f,00:11:22:33:44:01,TLS,TCP,64337,443,813,0,1,0,0,,,,,,,,,,,Application Data
60,1700000018.125969,10.0.0.107,10.0.0.1,02:10:db:d3:46:a1,00:11:22:33:44:01,DNS,UDP,59935,53,73,,,,,wikipedia.org,1,0,,,,,,,,Standard query A wikipedia.org
61,1700000018.145969,10.0.0.1,10.0.0.107,00:11:22:33:44:01,02:10:db:d3:46:a1,DNS,UDP,53,59935,107,,,,,wikipedia.org,1,1,0,,,,,,,Standard query response A wikipedia.org
62,1700000018.175969,10.0.0.107,93.184.29.208,02:10:db:d3:46:a1,00:11:22:33:44:01,TCP,TCP,59935,443,74,1,0,0,0,,,,,,,,,,,SYN
63,1700000018.2059689,93.184.29.208,10.0.0.107,00:11:22:33:44:01,02:10:db:d3:46:a1,TCP,TCP,443,59935,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
64,1700000018.6539588,93.184.189.220,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,64337,642,0,1,0,0,,,,,,,,,,,Application Data
65,1700000018.8565466,10.0.0.107,93.184.29.208,02:10:db:d3:46:a1,00:11:22:33:44:01,TLS,TCP,59935,443,1292,0,1,0,0,,,,,,,,,,,Application Data
66,1700000019.0501523,93.184.189.220,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,64337,332,0,1,0,0,,,,,,,,,,,Application Data
67,1700000019.2760985,93.184.29.208,10.0.0.107,00:11:22:33:44:01,02:10:db:d3:46:a1,TLS,TCP,443,59935,484,0,1,0,0,,,,,,,,,,,Application Data
68,1700000019.6095304,10.0.0.110,93.184.189.220,02:c2:31:5d:77:7f,00:11:22:33:44:01,TLS,TCP,64337,443,728,0,1,0,0,,,,,,,,,,,Application Data
69,1700000019.7402349,93.184.189.220,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,64337,828,0,1,0,0,,,,,,,,,,,Application Data
70,1700000020.5076466,10.0.0.103,10.0.0.1,02:c9:83:20:d6:73,00:11:22:33:44:01,DNS,UDP,61262,53,85,,,,,apple.com,1,0,,,,,,,,Standard query A apple.com
71,1700000020.5276465,10.0.0.1,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,DNS,UDP,53,61262,122,,,,,apple.com,1,1,0,,,,,,,Standard query response A apple.com
72,1700000020.5576465,10.0.0.103,93.184.171.196,02:c9:83:20:d6:73,00:11:22:33:44:01,TCP,TCP,61262,443,74,1,0,0,0,,,,,,,,,,,SYN
73,1700000020.5876465,93.184.171.196,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TCP,TCP,443,61262,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
74,1700000020.7350204,10.0.0.103,93.184.171.196,02:c9:83:20:d6:73,00:11:22:33:44:01,TLS,TCP,61262,443,531,0,1,0,0,,,,,,,,,,,Application Data
75,1700000020.8035042,10.0.0.107,93.184.29.208,02:10:db:d3:46:a1,00:11:22:33:44:01,TLS,TCP,59935,443,667,0,1,0,0,,,,,,,,,,,Application Data
76,1700000020.9012964,93.184.171.196,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TLS,TCP,443,61262,1102,0,1,0,0,,,,,,,,,,,Application Data
77,1700000021.403287,10.0.0.103,93.184.171.196,02:c9:83:20:d6:73,00:11:22:33:44:01,TLS,TCP,61262,443,1365,0,1,0,0,,,,,,,,,,,Application Data
78,1700000022.1151826,10.0.0.103,93.184.171.196,02:c9:83:20:d6:73,00:11:22:33:44:01,TLS,TCP,61262,443,711,0,1,0,0,,,,,,,,,,,Application Data
79,1700000022.4475336,10.0.0.102,10.0.0.1,02:86:f9:bc:c2:b7,00:11:22:33:44:01,DNS,UDP,55228,53,76,,,,,cloudflare.com,1,0,,,,,,,,Standard query A cloudflare.com
80,1700000022.4675336,10.0.0.1,10.0.0.102,00:11:22:33:44:01,02:86:f9:bc:c2:b7,DNS,UDP,53,55228,123,,,,,cloudflare.com,1,1,0,,,,,,,Standard query response A cloudflare.com
81,1700000022.4975336,10.0.0.102,93.184.142.139,02:86:f9:bc:c2:b7,00:11:22:33:44:01,TCP,TCP,55228,443,74,1,0,0,0,,,,,,,,,,,SYN
82,1700000022.5275335,93.184.142.139,10.0.0.102,00:11:22:33:44:01,02:86:f9:bc:c2:b7,TCP,TCP,443,55228,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
83,1700000023.041357,93.184.142.139,10.0.0.102,00:11:22:33:44:01,02:86:f9:bc:c2:b7,TLS,TCP,443,55228,507,0,1,0,0,,,,,,,,,,,Application Data
84,1700000023.2458816,10.0.0.103,93.184.171.196,02:c9:83:20:d6:73,00:11:22:33:44:01,TLS,TCP,61262,443,671,0,1,0,0,,,,,,,,,,,Application Data
85,1700000023.2888758,10.0.0.103,93.184.171.196,02:c9:83:20:d6:73,00:11:22:33:44:01,TLS,TCP,61262,443,1300,0,1,0,0,,,,,,,,,,,Application Data
86,1700000023.8528247,10.0.0.102,93.184.142.139,02:86:f9:bc:c2:b7,00:11:22:33:44:01,TLS,TCP,55228,443,1363,0,1,0,0,,,,,,,,,,,Application Data
87,1700000024.092705,10.0.0.102,93.184.142.139,02:86:f9:bc:c2:b7,00:11:22:33:44:01,TLS,TCP,55228,443,1286,0,1,0,0,,,,,,,,,,,Application Data
88,1700000024.7933576,93.184.142.139,10.0.0.102,00:11:22:33:44:01,02:86:f9:bc:c2:b7,TLS,TCP,443,55228,1390,0,1,0,0,,,,,,,,,,,Application Data
89,1700000025.4062316,10.0.0.102,93.184.142.139,02:86:f9:bc:c2:b7,00:11:22:33:44:01,TLS,TCP,55228,443,1169,0,1,0,0,,,,,,,,,,,Application Data
90,1700000035.231209,10.0.0.108,10.0.0.1,02:2a:c2:b3:5a:11,00:11:22:33:44:01,DNS,UDP,60592,53,80,,,,,apple.com,1,0,,,,,,,,Standard query A apple.com
91,1700000035.251209,10.0.0.1,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,DNS,UDP,53,60592,129,,,,,apple.com,1,1,0,,,,,,,Standard query response A apple.com
92,1700000035.281209,10.0.0.108,93.184.109.252,02:2a:c2:b3:5a:11,00:11:22:33:44:01,TCP,TCP,60592,443,74,1,0,0,0,,,,,,,,,,,SYN
93,1700000035.311209,93.184.109.252,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,TCP,TCP,443,60592,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
94,1700000036.3784454,10.0.0.105,10.0.0.1,02:a4:67:d2:8b:71,00:11:22:33:44:01,DNS,UDP,58054,53,75,,,,,wikipedia.org,1,0,,,,,,,,Standard query A wikipedia.org
95,1700000036.3984454,10.0.0.1,10.0.0.105,00:11:22:33:44:01,02:a4:67:d2:8b:71,DNS,UDP,53,58054,116,,,,,wikipedia.org,1,1,0,,,,,,,Standard query response A wikipedia.org
96,1700000036.4284453,10.0.0.105,93.184.120.94,02:a4:67:d2:8b:71,00:11:22:33:44:01,TCP,TCP,58054,443,74,1,0,0,0,,,,,,,,,,,SYN
97,1700000036.4584453,93.184.120.94,10.0.0.105,00:11:22:33:44:01,02:a4:67:d2:8b:71,TCP,TCP,443,58054,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
98,1700000036.99978,10.0.0.108,93.184.109.252,02:2a:c2:b3:5a:11,00:11:22:33:44:01,TLS,TCP,60592,443,1050,0,1,0,0,,,,,,,,,,,Application Data
99,1700000037.0172365,10.0.0.108,93.184.109.252,02:2a:c2:b3:5a:11,00:11:22:33:44:01,TLS,TCP,60592,443,750,0,1,0,0,,,,,,,,,,,Application Data
100,1700000037.168527,93.184.109.252,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,TLS,TCP,443,60592,735,0,1,0,0,,,,,,,,,,,Application Data
101,1700000037.2641344,10.0.0.105,93.184.120.94,02:a4:67:d2:8b:71,00:11:22:33:44:01,TLS,TCP,58054,443,568,0,1,0,0,,,,,,,,,,,Application Data
102,1700000037.276402,93.184.109.252,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,TLS,TCP,443,60592,459,0,1,0,0,,,,,,,,,,,Application Data
103,1700000037.5145955,10.0.0.105,93.184.120.94,02:a4:67:d2:8b:71,00:11:22:33:44:01,TLS,TCP,58054,443,952,0,1,0,0,,,,,,,,,,,Application Data
104,1700000037.5857675,10.0.0.108,93.184.109.252,02:2a:c2:b3:5a:11,00:11:22:33:44:01,TLS,TCP,60592,443,235,0,1,0,0,,,,,,,,,,,Application Data
105,1700000037.9383702,93.184.109.252,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,TLS,TCP,443,60592,1105,0,1,0,0,,,,,,,,,,,Application Data
106,1700000037.9392943,93.184.109.252,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,TLS,TCP,443,60592,809,0,1,0,0,,,,,,,,,,,Application Data
107,1700000038.7940269,93.184.120.94,10.0.0.105,00:11:22:33:44:01,02:a4:67:d2:8b:71,TLS,TCP,443,58054,220,0,1,0,0,,,,,,,,,,,Application Data
108,1700000039.207838,93.184.120.94,10.0.0.105,00:11:22:33:44:01,02:a4:67:d2:8b:71,TLS,TCP,443,58054,1294,0,1,0,0,,,,,,,,,,,Application Data
109,1700000039.3770533,93.184.120.94,10.0.0.105,00:11:22:33:44:01,02:a4:67:d2:8b:71,TLS,TCP,443,58054,654,0,1,0,0,,,,,,,,,,,Application Data
110,1700000040.0954528,10.0.0.110,10.0.0.1,02:c2:31:5d:77:7f,00:11:22:33:44:01,DNS,UDP,53092,53,74,,,,,github.com,1,0,,,,,,,,Standard query A github.com
111,1700000040.1154528,10.0.0.1,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,DNS,UDP,53,53092,118,,,,,github.com,1,1,0,,,,,,,Standard query response A github.com
112,1700000040.1454527,10.0.0.110,93.184.187.151,02:c2:31:5d:77:7f,00:11:22:33:44:01,TCP,TCP,53092,443,74,1,0,0,0,,,,,,,,,,,SYN
113,1700000040.1754527,93.184.187.151,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TCP,TCP,443,53092,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
114,1700000041.4799623,93.184.187.151,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,53092,977,0,1,0,0,,,,,,,,,,,Application Data
115,1700000041.622136,93.184.187.151,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,53092,762,0,1,0,0,,,,,,,,,,,Application Data
116,1700000042.1830416,10.0.0.110,93.184.187.151,02:c2:31:5d:77:7f,00:11:22:33:44:01,TLS,TCP,53092,443,957,0,1,0,0,,,,,,,,,,,Application Data
117,1700000042.6620934,10.0.0.110,93.184.187.151,02:c2:31:5d:77:7f,00:11:22:33:44:01,TLS,TCP,53092,443,1063,0,1,0,0,,,,,,,,,,,Application Data
118,1700000042.7466865,10.0.0.103,10.0.0.1,02:c9:83:20:d6:73,00:11:22:33:44:01,DNS,UDP,61501,53,72,,,,,github.com,1,0,,,,,,,,Standard query A github.com
119,1700000042.7641397,93.184.187.151,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,53092,1124,0,1,0,0,,,,,,,,,,,Application Data
120,1700000042.7666864,10.0.0.1,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,DNS,UDP,53,61501,101,,,,,github.com,1,1,0,,,,,,,Standard query response A github.com
121,1700000042.7966864,10.0.0.103,93.184.121.192,02:c9:83:20:d6:73,00:11:22:33:44:01,TCP,TCP,61501,443,74,1,0,0,0,,,,,,,,,,,SYN
122,1700000042.8266864,93.184.121.192,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TCP,TCP,443,61501,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
123,1700000043.139614,10.0.0.110,93.184.187.151,02:c2:31:5d:77:7f,00:11:22:33:44:01,TLS,TCP,53092,443,220,0,1,0,0,,,,,,,,,,,Application Data
124,1700000043.194383,93.184.121.192,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TLS,TCP,443,61501,1343,0,1,0,0,,,,,,,,,,,Application Data
125,1700000043.7064676,10.0.0.103,93.184.121.192,02:c9:83:20:d6:73,00:11:22:33:44:01,TLS,TCP,61501,443,745,0,1,0,0,,,,,,,,,,,Application Data
126,1700000044.185855,93.184.121.192,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TLS,TCP,443,61501,1161,0,1,0,0,,,,,,,,,,,Application Data
127,1700000044.314482,93.184.121.192,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TLS,TCP,443,61501,539,0,1,0,0,,,,,,,,,,,Application Data
128,1700000044.406902,93.184.121.192,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TLS,TCP,443,61501,602,0,1,0,0,,,,,,,,,,,Application Data
129,1700000044.9092882,10.0.0.103,93.184.121.192,02:c9:83:20:d6:73,00:11:22:33:44:01,TLS,TCP,61501,443,369,0,1,0,0,,,,,,,,,,,Application Data
130,1700000047.703338,10.0.0.101,10.0.0.1,02:db:16:b2:33:18,00:11:22:33:44:01,DNS,UDP,53951,53,76,,,,,amazon.com,1,0,,,,,,,,Standard query A amazon.com
131,1700000047.723338,10.0.0.1,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,DNS,UDP,53,53951,125,,,,,amazon.com,1,1,0,,,,,,,Standard query response A amazon.com
132,1700000047.7533379,10.0.0.101,93.184.192.66,02:db:16:b2:33:18,00:11:22:33:44:01,TCP,TCP,53951,443,74,1,0,0,0,,,,,,,,,,,SYN
133,1700000047.7833378,93.184.192.66,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,TCP,TCP,443,53951,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
134,1700000048.5073545,10.0.0.101,93.184.192.66,02:db:16:b2:33:18,00:11:22:33:44:01,TLS,TCP,53951,443,309,0,1,0,0,,,,,,,,,,,Application Data
135,1700000048.6391559,93.184.192.66,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,TLS,TCP,443,53951,1114,0,1,0,0,,,,,,,,,,,Application Data
136,1700000048.7458024,93.184.192.66,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,TLS,TCP,443,53951,769,0,1,0,0,,,,,,,,,,,Application Data
137,1700000050.0303357,10.0.0.101,93.184.192.66,02:db:16:b2:33:18,00:11:22:33:44:01,TLS,TCP,53951,443,911,0,1,0,0,,,,,,,,,,,Application Data
138,1700000050.1372192,10.0.0.109,10.0.0.1,02:f8:72:e4:ad:c7,00:11:22:33:44:01,DNS,UDP,59291,53,75,,,,,google.com,1,0,,,,,,,,Standard query A google.com
139,1700000050.1572192,10.0.0.1,10.0.0.109,00:11:22:33:44:01,02:f8:72:e4:ad:c7,DNS,UDP,53,59291,96,,,,,google.com,1,1,0,,,,,,,Standard query response A google.com
140,1700000050.1872191,10.0.0.109,93.184.82.100,02:f8:72:e4:ad:c7,00:11:22:33:44:01,TCP,TCP,59291,443,74,1,0,0,0,,,,,,,,,,,SYN
141,1700000050.217219,93.184.82.100,10.0.0.109,00:11:22:33:44:01,02:f8:72:e4:ad:c7,TCP,TCP,443,59291,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
142,1700000050.2707624,10.0.0.108,185.220.101.47,02:21:25:bf:a4:35,00:11:22:33:44:01,TLS,TCP,54086,443,194,0,1,0,0,,,,,,,,,,,Application Data (beacon check-in)
143,1700000050.3707623,185.220.101.47,10.0.0.108,00:11:22:33:44:01,02:21:25:bf:a4:35,TLS,TCP,443,54086,194,0,1,0,0,,,,,,,,,,,Application Data
144,1700000050.647781,93.184.192.66,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,TLS,TCP,443,53951,498,0,1,0,0,,,,,,,,,,,Application Data
145,1700000050.8234777,93.184.82.100,10.0.0.109,00:11:22:33:44:01,02:f8:72:e4:ad:c7,TLS,TCP,443,59291,265,0,1,0,0,,,,,,,,,,,Application Data
